name,ROW_ID,cueType,a,a_soundTyp,b,b_soundTyp,c,c_soundTyp,d,d_soundTyp,a_weighted,b_weighted,c_weighted,d_weighted,weighted_zSound
TYS_104,98,label,0.0,NA,168.0,1.0299999709999998,0.0,NA,306.0,-1.24000001,NA,173.039995128,NA,-379.44000306,-0.43544305470886074
TYS_104,99,sound,0.0,NA,240.0,0.8500000240000001,668.0,0.379999995,273.99999999999994,-0.589999974,NA,204.00000576000002,253.83999666,-161.659992876,0.25057530418274115
TYS_104,100,sound,193.99999999999997,1.169999957,250.0,0.8500000240000001,0.0,NA,308.0,-0.589999974,226.97999165799996,212.500006,NA,-181.71999199200002,0.34276596498138295
TYS_104,101,sound,201.99999999999997,1.169999957,168.0,0.8500000240000001,0.0,NA,0.0,NA,236.33999131399995,142.800004032,NA,NA,1.0247026901243244
TYS_104,102,sound,0.0,NA,0.0,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA
TYS_104,103,label,0.0,NA,206.00000000000003,0.8500000240000001,0.0,NA,206.00000000000003,-0.589999974,NA,175.10000494400003,NA,-121.53999464400002,0.13000002500000002
TYS_104,104,label,0.0,NA,0.0,NA,352.00000000000006,0.379999995,453.99999999999994,-0.589999974,NA,NA,133.75999824000002,-267.85998819599996,-0.16637715875434236
TYS_104,105,label,0.0,NA,416.00000000000006,0.8500000240000001,0.0,NA,252.0,-0.589999974,NA,353.60000998400005,NA,-148.679993448,0.30676649182035937
TYS_104,106,label,204.0,1.169999957,0.0,NA,220.0,0.379999995,0.0,NA,238.67999122799998,NA,83.59999889999999,NA,0.7600943163396225
TYS_104,107,sound,152.0,1.2799999709999998,424.0,0.939999998,200.0,-1.419999957,138.0,-1.6100000140000001,194.55999559199998,398.559999152,-283.9999914,-222.180001932,0.09512035165426694
TYS_104,108,sound,0.0,NA,0.0,NA,300.0,-1.419999957,0.0,NA,NA,NA,-425.9999871,NA,-1.419999957
TYS_104,109,sound,150.0,1.2799999709999998,0.0,NA,0.0,NA,450.0,-1.6100000140000001,191.99999565,NA,NA,-724.5000063000001,-0.8875000177500002
TYS_104,110,sound,0.0,NA,212.0,0.939999998,0.0,NA,0.0,NA,NA,199.279999576,NA,NA,0.939999998
TYS_104,111,label,660.0000000000001,1.2799999709999998,140.0,0.939999998,0.0,NA,0.0,NA,844.79998086,131.59999972,NA,NA,1.220499975725
